#: P [GeV]			400		
#: RE			P NUCLEUS --> MU+ MU- X		
#: W(P=3 4) [GEV]			9.TO10.		
#: YRAP(P=3 4	RF=CM)			0.03	
# PT(P=3 4,RF=CM) [GEV]	PT(P=3 4,RF=CM) [GEV] LOW	PT(P=3 4,RF=CM) [GEV] HIGH	1/A*E(P=3 4,RF=CM)*D3(SIG)/D3(P(P=3 4,RF=CM)) [FB/GEV**2]	error +	error -
0.1	0	0.2	117	8	-8
0.3	0.2	0.4	119	5	-5
0.5	0.4	0.6	109	4	-4
0.7	0.6	0.8	94	3	-3
0.9	0.8	1	78	3	-3
1.1	1	1.2	50	2	-2
1.3	1.2	1.4	44	2	-2
1.5	1.4	1.6	33	2	-2
1.7	1.6	1.8	23	2	-2
1.9	1.8	2	15.1	1.2	-1.2
2.1	2	2.2	12.2	1.1	-1.1
2.3	2.2	2.4	7.8	0.9	-0.9
2.5	2.4	2.6	5.6	0.7	-0.7
2.7	2.6	2.8	4.4	0.6	-0.6
2.9	2.8	3	2.9	0.5	-0.5
3.1	3	3.2	1.55	0.36	-0.36
3.3	3.2	3.4	1.38	0.36	-0.36
3.5	3.4	3.6	1.05	0.32	-0.32
3.7	3.6	3.8	0.71	0.25	-0.25
3.9	3.8	4	0.44	0.2	-0.2
4.1	4	4.2	0.51	0.21	-0.21
4.3	4.2	4.4	0.21	0.15	-0.15
4.5	4.4	4.6	0.38	0.19	-0.19

