#: P [GeV]			400		
#: RE			P NUCLEUS --> MU+ MU- X		
#: W(P=3 4) [GEV]			6.TO7.		
#: YRAP(P=3 4	RF=CM)			0.03	
#PT(P=3 4,RF=CM) [GEV]	PT(P=3 4,RF=CM) [GEV] LOW	PT(P=3 4,RF=CM) [GEV] HIGH	1/A*E(P=3 4,RF=CM)*D3(SIG)/D3(P(P=3 4,RF=CM)) [FB/GEV**2]	error +	error -
0.1	0	0.2	1040	30	-30
0.3	0.2	0.4	966	18	-18
0.5	0.4	0.6	894	16	-16
0.7	0.6	0.8	707	14	-14
0.9	0.8	1	594	14	-14
1.1	1	1.2	440	12	-12
1.3	1.2	1.4	330	11	-11
1.5	1.4	1.6	217	9	-9
1.7	1.6	1.8	153	7	-7
1.9	1.8	2	88	6	-6
2.1	2	2.2	61	5	-5
2.3	2.2	2.4	50	4	-4
2.5	2.4	2.6	25	3	-3
2.7	2.6	2.8	20	3	-3
2.9	2.8	3	14	3	-3
3.1	3	3.2	5.9	2.1	-2.1
3.3	3.2	3.4	6.4	1.9	-1.9
3.5	3.4	3.6	3.8	1.2	-1.2
3.7	3.6	3.8	3.1	1.5	-1.5
3.9	3.8	4	0.5	0.9	-0.9
4.1	4	4.2	0.5	0.5	-0.5
4.3	4.2	4.4	1.8	1	-1
4.5	4.4	4.6	-1.5	1.5	-1.5
4.9	4.8	5	1.2	1.2	-1.2

